s1t-3,s1t-2,s1t-1,s1t-0,s2t-3,s2t-2,s2t-1,s2t-0,pt+7
95.0,95.0,95.0,95.0,148.0,149.0,150.0,150.0,153.0
95.0,95.0,95.0,95.0,149.0,150.0,150.0,150.0,153.0
95.0,95.0,95.0,95.0,150.0,150.0,150.0,150.0,153.0
95.0,95.0,95.0,95.0,150.0,150.0,150.0,150.0,153.0
95.0,95.0,95.0,95.0,150.0,150.0,150.0,152.0,153.0
95.0,95.0,95.0,95.0,150.0,150.0,152.0,152.0,153.0
95.0,95.0,95.0,96.0,150.0,152.0,152.0,153.0,153.0
95.0,95.0,96.0,97.0,152.0,152.0,153.0,153.0,153.0
95.0,96.0,97.0,98.0,152.0,153.0,153.0,153.0,153.0
96.0,97.0,98.0,100.0,153.0,153.0,153.0,153.0,154.0
97.0,98.0,100.0,100.0,153.0,153.0,153.0,153.0,155.0
98.0,100.0,100.0,100.0,153.0,153.0,153.0,153.0,156.0
100.0,100.0,100.0,101.0,153.0,153.0,153.0,153.0,156.0
100.0,100.0,101.0,101.0,153.0,153.0,153.0,153.0,156.0
100.0,101.0,101.0,102.0,153.0,153.0,153.0,153.0,156.0
101.0,101.0,102.0,102.0,153.0,153.0,153.0,153.0,160.0
101.0,102.0,102.0,103.0,153.0,153.0,153.0,154.0,164.0
102.0,102.0,103.0,104.0,153.0,153.0,154.0,155.0,165.0
102.0,103.0,104.0,105.0,153.0,154.0,155.0,156.0,168.0
103.0,104.0,105.0,106.0,154.0,155.0,156.0,156.0,172.0
104.0,105.0,106.0,109.0,155.0,156.0,156.0,156.0,178.0
105.0,106.0,109.0,113.0,156.0,156.0,156.0,156.0,188.0
106.0,109.0,113.0,120.0,156.0,156.0,156.0,160.0,192.0
109.0,113.0,120.0,134.0,156.0,156.0,160.0,164.0,207.0
113.0,120.0,134.0,143.0,156.0,160.0,164.0,165.0,224.0
120.0,134.0,143.0,162.0,160.0,164.0,165.0,168.0,237.0
134.0,143.0,162.0,184.0,164.0,165.0,168.0,172.0,246.0
143.0,162.0,184.0,204.0,165.0,168.0,172.0,178.0,259.0
162.0,184.0,204.0,228.0,168.0,172.0,178.0,188.0,270.0
184.0,204.0,228.0,250.0,172.0,178.0,188.0,192.0,280.0
204.0,228.0,250.0,277.0,178.0,188.0,192.0,207.0,290.0
228.0,250.0,277.0,295.0,188.0,192.0,207.0,224.0,297.0
250.0,277.0,295.0,300.0,192.0,207.0,224.0,237.0,303.0
277.0,295.0,300.0,320.0,207.0,224.0,237.0,246.0,314.0
295.0,300.0,320.0,330.0,224.0,237.0,246.0,259.0,326.0
300.0,320.0,330.0,349.0,237.0,246.0,259.0,270.0,340.0
320.0,330.0,349.0,368.0,246.0,259.0,270.0,280.0,362.0
330.0,349.0,368.0,385.0,259.0,270.0,280.0,290.0,390.0
349.0,368.0,385.0,445.0,270.0,280.0,290.0,297.0,412.0
368.0,385.0,445.0,465.0,280.0,290.0,297.0,303.0,435.0
385.0,445.0,465.0,514.0,290.0,297.0,303.0,314.0,447.0
445.0,465.0,514.0,550.0,297.0,303.0,314.0,326.0,465.0
465.0,514.0,550.0,573.0,303.0,314.0,326.0,340.0,468.0
514.0,550.0,573.0,586.0,314.0,326.0,340.0,362.0,470.0
550.0,573.0,586.0,588.0,326.0,340.0,362.0,390.0,472.0
573.0,586.0,588.0,594.0,340.0,362.0,390.0,412.0,475.0
586.0,588.0,594.0,598.0,362.0,390.0,412.0,435.0,478.0
588.0,594.0,598.0,602.0,390.0,412.0,435.0,447.0,481.0
594.0,598.0,602.0,606.0,412.0,435.0,447.0,465.0,483.0
598.0,602.0,606.0,609.0,435.0,447.0,465.0,468.0,485.0
602.0,606.0,609.0,612.0,447.0,465.0,468.0,470.0,486.0
606.0,609.0,612.0,616.0,465.0,468.0,470.0,472.0,488.0
609.0,612.0,616.0,620.0,468.0,470.0,472.0,475.0,489.0
612.0,616.0,620.0,624.0,470.0,472.0,475.0,478.0,490.0
616.0,620.0,624.0,626.0,472.0,475.0,478.0,481.0,490.0
620.0,624.0,626.0,628.0,475.0,478.0,481.0,483.0,490.0
624.0,626.0,628.0,628.0,478.0,481.0,483.0,485.0,490.0
626.0,628.0,628.0,628.0,481.0,483.0,485.0,486.0,490.0
628.0,628.0,628.0,627.0,483.0,485.0,486.0,488.0,490.0
