x,y,class_1,class_2
0.4999,0.4088,1,0
0.1839,0.0617,0,1
0.3404,0.4643,1,0
0.268,0.3116,0,1
0.61,0.4365,1,0
0.268,0.5719,0,1
0.4419,0.5337,1,0
0.8042,0.5788,0,1
0.5173,0.3255,1,0
0.7057,0.624,0,1
0.4854,0.3012,1,0
0.6825,0.2318,0,1
0.497,0.2144,1,0
0.3317,0.1207,0,1
0.4883,0.5997,1,0
0.3114,0.1693,0,1
0.3027,0.381,1,0
0.1665,0.1693,0,1
0.6999,0.4192,1,0
0.2274,0.2075,0,1
0.639,0.2838,1,0
0.2622,0.1415,0,1
0.3607,0.5545,1,0
0.4332,0.1936,0,1
0.3607,0.2561,1,0
0.5694,0.1728,0,1
0.6361,0.5511,1,0
0.752,0.3498,0,1
0.5578,0.4851,1,0
0.7491,0.558,0,1
0.4187,0.3949,1,0
0.7231,0.5094,0,1
0.3955,0.2942,1,0
0.5926,0.6031,0,1
0.4825,0.3949,1,0
0.3984,0.6587,0,1
0.4593,0.44,1,0
0.6477,0.7003,0,1
0.5636,0.3636,1,0
0.7434,0.6968,0,1
0.5955,0.3845,1,0
0.5462,0.6483,0,1
0.5897,0.3255,1,0
0.297,0.4955,0,1
0.5781,0.2734,1,0
0.239,0.3984,0,1
0.5462,0.2873,1,0
0.1984,0.2977,0,1
0.5346,0.2595,1,0
0.4187,0.1485,0,1
0.5462,0.4018,1,0
0.3259,0.2804,0,1
0.5607,0.4435,1,0
0.2999,0.2387,0,1
0.6129,0.4921,1,0
0.3636,0.2144,0,1
0.5781,0.5302,1,0
0.6187,0.2283,0,1
0.6651,0.3845,1,0
0.7144,0.3081,0,1
0.6506,0.4504,1,0
0.7289,0.3984,0,1
0.3201,0.4469,1,0
0.7549,0.4539,0,1
0.3491,0.4261,1,0
0.7868,0.4817,0,1
0.3955,0.4574,1,0
0.6274,0.6413,0,1
0.4854,0.5025,1,0
0.4622,0.6378,0,1
0.5144,0.558,1,0
0.3752,0.617,0,1
0.3868,0.499,1,0
0.6709,0.5719,0,1
0.4071,0.5754,1,0
0.6738,0.5094,0,1
0.4419,0.2734,1,0
0.5984,0.683,0,1
0.4535,0.3324,1,0
0.7781,0.6795,0,1
0.3984,0.3498,1,0
0.1955,0.4574,0,1
0.3433,0.3428,1,0
0.1839,0.2491,0,1
0.4245,0.2526,1,0
0.2303,0.1033,0,1
0.5549,0.5684,1,0
0.2767,0.0964,0,1
0.6332,0.3567,1,0
0.4825,0.1242,0,1
0.439,0.506,1,0
0.1549,0.2665,0,1
0.3839,0.3949,1,0
0.3143,0.322,0,1
0.4506,0.3636,1,0
0.5086,0.6691,0,1
0.5028,0.4539,1,0
0.6796,0.3671,0,1
0.4013,0.5337,1,0
0.4709,0.558,0,1
